DATE,VIXCLS
2014-12-11,20.08
2014-12-12,21.08
2014-12-15,20.42
2014-12-16,23.57
2015-01-06,21.12
2015-01-13,20.56
2015-01-14,21.48
2015-01-15,22.39
2015-01-16,20.95
2015-01-28,20.44
2015-01-30,20.97
2015-08-21,28.03
2015-08-24,40.74
2015-08-25,36.02
2015-08-26,30.32
2015-08-27,26.1
2015-08-28,26.05
2015-08-31,28.43
2015-09-01,31.4
2015-09-02,26.09
2015-09-03,25.61
2015-09-04,27.8
2015-09-08,24.9
2015-09-09,26.23
2015-09-10,24.37
2015-09-11,23.2
2015-09-14,24.25
2015-09-15,22.54
2015-09-16,21.35
2015-09-17,21.14
2015-09-18,22.28
2015-09-21,20.14
2015-09-22,22.44
2015-09-23,22.13
2015-09-24,23.47
2015-09-25,23.62
2015-09-28,27.63
2015-09-29,26.83
2015-09-30,24.5
2015-10-01,22.55
2015-10-02,20.94
2015-11-13,20.08
2015-12-11,24.39
2015-12-14,22.73
2015-12-15,20.95
2015-12-18,20.7
2016-01-04,20.7
2016-01-06,20.59
2016-01-07,24.99
2016-01-08,27.01
2016-01-11,24.3
2016-01-12,22.47
2016-01-13,25.22
2016-01-14,23.95
2016-01-15,27.02
2016-01-19,26.05
2016-01-20,27.59
2016-01-21,26.69
2016-01-22,22.34
2016-01-25,24.15
2016-01-26,22.5
2016-01-27,23.11
2016-01-28,22.42
2016-01-29,20.2
2016-02-02,21.98
2016-02-03,21.65
2016-02-04,21.84
2016-02-05,23.38
2016-02-08,26.0
2016-02-09,26.54
2016-02-10,26.29
2016-02-11,28.14
2016-02-12,25.4
2016-02-16,24.11
2016-02-17,22.31
2016-02-18,21.64
2016-02-19,20.53
2016-02-23,20.98
2016-02-24,20.72
2016-02-29,20.55
2016-06-13,20.97
2016-06-14,20.5
2016-06-15,20.14
2016-06-22,21.17
2016-06-24,25.76
2016-06-27,23.85
2016-11-03,22.08
2016-11-04,22.51
2018-02-05,37.32
2018-02-06,29.98
